Name,Rating,Ease of Prep,Notes,Type,Prep Time,Photo,Cookbook,Page #,Ingredients,Slowcooker,Link,Last Made,Make It Next
Jamaican Jerk Chicken,⭐⭐⭐⭐⭐,Average,Luke loved this one,Main Dish,30,,Taste From Home,,Chicken,,,12/8/2018,28.12.2018
Pasta Salad,⭐⭐⭐,Fairly Easy,Make night before,Salad,20,,Taste From Home,,"Kielbasa,Noodles",,,,#ERROR
Lasagna,⭐⭐⭐,Fairly Easy,Make night before,Main Dish,45,,Taste From Home,,"Sausage,Noodles",,,1/6/2019,22.2.2019
Hearty Pancakes,⭐⭐⭐⭐,Average,Makes enough for 2 days,Breakfast,20,Image 29 April 2017 07:50 AM.jpg (https://dl.airtable.com/9S7WQfpnRKexAdJ69gTf_Image%2029%20April%202017%2007%3A50%20AM.jpg),Taste From Home,,"Milk,Eggs,Corn Meal",,,,#ERROR
Summer Garden Couscous Salad,⭐⭐⭐⭐,Hard,,Salad,30,Image 08 May 2017 07:00 PM.jpg (https://dl.airtable.com/axstjUrrQsW0KmaMLsbu_Image%2008%20May%202017%2007%3A00%20PM.jpg),Taste of Home,287,Vegetarian,,,11/18/2018,18.12.2018
Squash Corn Chowder,⭐⭐,Hard,,Main Dish,45,Image 08 May 2017 07:06 PM.jpg (https://dl.airtable.com/QmOvp4YhRK2CZ0uT2tHX_Image%2008%20May%202017%2007%3A06%20PM.jpg),Taste From Home,,"Vegetarian,Potatoes",,,5/8/2017,9.7.2017
"White beans, tomatoes, and spinach",⭐⭐⭐,Fairly Easy,Luke likes this one,Main Dish,30,Image 10 May 2017 07:14 PM.jpg (https://dl.airtable.com/eB7Jmc7MSAyzU4CsqdVc_Image%2010%20May%202017%2007%3A14%20PM.jpg),Taste From Home,,"Rice,Vegetarian,Beans,Eggs",,,1/7/2019,23.2.2019
Spaghetti,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,15,,Taste From Home,,"Noodles,Marinara Sauce",,,6/4/2018,24.6.2018
Scones,⭐⭐⭐⭐⭐,Super Simple,Make dough night before,Baking Basics,45,Image 23 June 2017 11:21 AM.jpg (https://dl.airtable.com/GAUMr6ufTuACREdey1Xg_Image%2023%20June%202017%2011%3A21%20AM.jpg),"Pinterest,Taste of Home",,,,,5/13/2017,2.6.2017
Pizza,⭐⭐⭐⭐⭐,Average,Use half whole wheat flour,Main Dish,120,Image 14 May 2017 02:11 PM.jpg (https://dl.airtable.com/Zj7GLRdSPCtgYIU4cqCA_Image%2014%20May%202017%2002%3A11%20PM.jpg),Taste From Home,,"Sausage,Cheese",,,5/5/2017,25.5.2017
Stir-Fry,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,25,,Taste of Home,4,"Chicken,Rice",,,2/5/2019,25.2.2019
Rustic Italian Tortellini Soup,⭐⭐⭐⭐,Hard,,Main Dish,30,,Taste of Home,62,"Sausage,Noodles,Cheese",,,6/18/2017,18.7.2017
Swedish Meatballs,⭐⭐⭐,Very Difficult,,Main Dish,90,,Taste of Home,110,"Beef,Noodles,Eggs",,,,#ERROR
Barley Beef Skillet,⭐⭐⭐⭐,Super Simple,,Main Dish,25,,Taste of Home,114,Beef,,,6/12/2017,12.7.2017
Southwest Beef & Rice Skillet,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,25,Image 23 June 2017 11:22 AM.jpg (https://dl.airtable.com/SZJHXZVUTsOlVVxY3RPA_Image%2023%20June%202017%2011%3A22%20AM.jpg),Taste of Home,115,"Beef,Rice,Beans",,,7/29/2018,18.8.2018
Glazed Pork Chops with Corn Bread Dressing,⭐⭐⭐⭐,Average,,Main Dish,45,,Taste of Home,129,Pork,,,,#ERROR
Fried Rice,⭐⭐⭐⭐,Super Simple,,Main Dish,20,,Taste of Home,135,"Chicken,Eggs,Rice",,https://www.tasteofhome.com/recipes/mom-s-fried-rice,1/24/2019,23.2.2019
Zesty Sausage & Beans,⭐⭐⭐⭐⭐,Fairly Easy,,Main Dish,45,,Taste of Home,141,"Sausage,Beans,Rice",checked,,6/16/2017,6.7.2017
Prosciutto Pasta Toss,⭐⭐,Fairly Easy,,Main Dish,30,,Taste of Home,146,"Noodles,Ham",,,,#ERROR
Cashew Chicken with Noodles,⭐⭐⭐⭐⭐,Average,,Main Dish,20,,Taste of Home,175,"Noodles,Chicken",,,,#ERROR
Herb Chicken with Honey Butter,⭐⭐⭐,Average,,Main Dish,30,Image 23 May 2017 05:26 PM.jpg (https://dl.airtable.com/pU7EugRQvGCCSJCasnyg_Image%2023%20May%202017%2005%3A26%20PM.jpg),Taste of Home,176,Chicken,,,5/23/2017,9.7.2017
French Toast,⭐⭐⭐⭐,Super Simple,,Breakfast,10,,Taste of Home,245,Eggs,,,,#ERROR
Swedish Pancakes,⭐⭐⭐⭐,Fairly Easy,,Breakfast,20,,Taste of Home,245,"Milk,Eggs",,,,#ERROR
Baked Cheddar Eggs & Potatoes,⭐⭐⭐⭐⭐,Fairly Easy,Add bacon,Main Dish,45,Image 20 May 2017 07:52 PM.jpg (https://dl.airtable.com/3pBhVGRPTuurNiCYESls_Image%2020%20May%202017%2007%3A52%20PM.jpg),Taste of Home,277,"Potatoes,Bacon,Cheese,Eggs",,,11/24/2018,14.12.2018
Baked Mostaccioli,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,90,,Taste of Home,284,"Noodles,Marinara Sauce,Cheese,Sausage",,,,#ERROR
Ravioli with Snap Peas,⭐⭐⭐⭐,Hard,,Main Dish,40,,Taste of Home,286,"Noodles,Milk,Cheese",,,7/23/2018,22.8.2018
Cloverleaf Rolls,⭐⭐⭐,Fairly Easy,,Side Dish,30,,Taste From Home,,Milk,,,,#ERROR
Greek Yogurt and Honey Blueberry Muffins,⭐⭐⭐⭐,Average,,Breakfast,30,,Taste From Home,,"Eggs,Milk",,,,#ERROR
Whole Grain Waffles,⭐⭐⭐⭐⭐,Super Simple,,Breakfast,25,,Taste From Home,,"Eggs,Milk",,,,#ERROR
Lemon Bars,⭐⭐⭐,Fairly Easy,,Dessert,60,,Taste From Home,,,,,,#ERROR
Qahaq Cookies,⭐⭐,Average,,Dessert,30,,Taste From Home,,,,,,#ERROR
Blondies with Nutella,⭐⭐,Hard,,Dessert,90,,Taste From Home,,,,,,#ERROR
Hot Chocolate,⭐⭐⭐⭐⭐,Super Simple,,Dessert,10,,Taste From Home,,Milk,,,,#ERROR
Chocolate Mousse,⭐⭐⭐⭐,Hard,Whisk on stove until thick,Dessert,30,Image 23 June 2017 10:40 AM.jpg (https://dl.airtable.com/p1aWENpoQdSnDXzNjHvP_Image%2023%20June%202017%2010%3A40%20AM.jpg),Taste From Home,,Eggs,,,,#ERROR
S'mores Cookie Bars,⭐⭐⭐⭐,Hard,,Dessert,45,,Taste From Home,,,,,,#ERROR
Orange Chicken,⭐⭐⭐⭐,Fairly Easy,,Main Dish,40,,Taste From Home,,"Chicken,Rice",,,,#ERROR
Tostadas,⭐⭐⭐,Super Simple,,Main Dish,20,,Taste From Home,,"Chicken,Cheese",,,,#ERROR
Black Bean Stuffed Sweet Potatoes,⭐,Fairly Easy,,Main Dish,20,,Taste From Home,,"Beans,Cheese",,,,#ERROR
Asian Shredded Beef,⭐⭐⭐⭐⭐,Super Simple,,Main Dish,30,Image 23 June 2017 11:19 AM.jpg (https://dl.airtable.com/k2Wgo6RTjKfUBiyeUXMJ_Image%2023%20June%202017%2011%3A19%20AM.jpg),Taste From Home,,"Beef,Noodles",checked,,,#ERROR
